Исходные данные,Отсортированные по возрастанию,Отсортированные по убыванию
-5320,-4373,4324
9469,-4370,4312
-4760,-4363,4299
100,-4362,4297
5168,-4339,4281
955,-4328,4274
-9268,-4304,4272
3088,-4297,4259
2046,-4281,4254
-500,-4237,4234
-2556,-4205,4226
9780,-4199,4179
3846,-4198,4165
6979,-4163,4132
-9353,-4161,4116
2232,-4154,4102
6957,-4149,4098
-3203,-4104,4097
-4363,-4015,4075
1471,-4005,4015
4799,-3996,4010
-4741,-3993,4006
-780,-3989,3992
-3433,-3979,3947
-5556,-3966,3928
9373,-3964,3907
-9414,-3963,3867
4132,-3944,3866
-2399,-3909,3862
1059,-3898,3849
-9261,-3824,3846
-4590,-3823,3839
5923,-3818,3824
6030,-3815,3754
6821,-3784,3749
-6102,-3782,3731
8231,-3759,3729
-276,-3754,3713
7404,-3750,3704
-9059,-3747,3692
1590,-3727,3688
1317,-3718,3683
-992,-3690,3657
8491,-3644,3657
4672,-3612,3640
1834,-3568,3636
7329,-3563,3634
-1607,-3552,3621
8189,-3540,3596
5225,-3510,3595
-8138,-3479,3592
-1258,-3460,3537
-6249,-3433,3429
-136,-3406,3421
8424,-3402,3392
-9097,-3387,3310
5352,-3347,3278
4297,-3271,3263
-4104,-3257,3247
2003,-3256,3242
-2058,-3242,3217
-329,-3228,3195
-4407,-3203,3173
6322,-3178,3160
9512,-3173,3145
-2974,-3165,3123
-6179,-3162,3097
9095,-3126,3088
-1528,-3079,3062
-8972,-3005,3022
-7340,-2992,2918
-7647,-2989,2912
-2266,-2988,2910
937,-2982,2902
2695,-2979,2900
-8947,-2974,2895
9361,-2922,2891
-6107,-2913,2843
-7321,-2892,2792
1187,-2863,2780
-5050,-2848,2750
-7335,-2791,2718
9441,-2772,2717
-3162,-2754,2695
-6032,-2700,2676
-9149,-2697,2619
-4972,-2674,2585
-2848,-2674,2579
9715,-2635,2534
-1231,-2604,2527
-9196,-2574,2464
-4556,-2556,2424
9408,-2516,2404
6496,-2500,2393
-8033,-2472,2383
7034,-2443,2372
-5667,-2419,2279
-8616,-2401,2263
3278,-2399,2258
3867,-2324,2232
-9937,-2296,2230
-6001,-2281,2180
-6012,-2266,2172
8886,-2238,2154
9900,-2236,2134
2891,-2226,2121
9055,-2212,2120
3731,-2206,2120
-7613,-2198,2046
-6559,-2188,2017
-1990,-2172,2003
3537,-2163,1998
8347,-2155,1992
-4237,-2147,1989
9340,-2126,1957
-2604,-2123,1941
-6102,-2112,1939
4705,-2091,1922
6676,-2065,1909
4470,-2058,1908
-4654,-2049,1834
-5224,-2049,1804
3729,-2030,1782
-5878,-2003,1749
-9264,-1990,1735
-5539,-1968,1723
8355,-1942,1697
1465,-1937,1660
3749,-1925,1636
-1611,-1879,1622
3217,-1869,1605
-8329,-1858,1590
-9394,-1808,1585
8504,-1801,1553
2534,-1734,1528
8115,-1714,1528
5835,-1708,1521
-2212,-1708,1498
9779,-1662,1491
-3754,-1658,1490
-4657,-1648,1477
-7696,-1611,1471
1909,-1611,1465
-6581,-1607,1463
-8869,-1552,1424
4281,-1533,1408
8387,-1528,1335
213,-1474,1326
3704,-1471,1317
8091,-1435,1301
-226,-1413,1270
-1808,-1384,1218
-2472,-1378,1209
-9309,-1371,1187
3862,-1361,1157
8931,-1298,1122
-7317,-1283,1100
5456,-1264,1096
-3005,-1258,1062
-3824,-1248,1059
-3402,-1231,1059
-4015,-1222,1052
-5476,-1196,1042
-9173,-1194,959
41,-1181,955
413,-1146,942
-6796,-1144,937
-9907,-1111,931
5707,-1099,904
3713,-1078,903
-7533,-1070,879
-6222,-1038,838
-9596,-1018,825
-4963,-1000,825
3263,-992,801
-9625,-978,799
6036,-963,787
942,-960,768
6881,-960,738
-370,-948,716
-1070,-897,681
-5485,-886,581
-3271,-886,527
-6710,-880,525
167,-877,465
-8438,-861,461
9507,-856,456
8222,-780,456
6080,-775,419
4440,-768,413
-5264,-736,368
-6534,-706,345
-5298,-655,327
-4362,-646,237
-2147,-641,215
5605,-607,213
-4466,-604,200
3839,-590,194
4505,-589,179
-3690,-575,167
3621,-519,146
-7013,-511,102
-6708,-503,100
9265,-500,96
-4199,-455,88
1100,-379,41
-1474,-370,30
-1708,-365,-11
8847,-329,-12
461,-327,-13
-2324,-320,-39
-2206,-310,-107
-5124,-306,-136
-39,-291,-155
-960,-276,-167
-7827,-262,-178
-646,-256,-203
-3126,-247,-219
7563,-226,-224
8880,-224,-226
-7243,-219,-247
2120,-203,-256
-5953,-178,-262
8435,-167,-276
9694,-155,-291
-2155,-136,-306
8131,-107,-310
1096,-39,-320
-2172,-13,-327
-6132,-12,-329
-5002,-11,-365
-5070,30,-370
6988,41,-379
-6314,88,-455
9835,96,-500
3421,100,-503
-455,102,-511
-9900,146,-519
-963,167,-575
-3963,179,-589
9491,194,-590
5603,200,-604
4586,213,-607
-503,215,-641
6405,237,-646
7637,327,-655
-3898,345,-706
-6809,368,-736
-107,413,-768
-1937,419,-775
8118,456,-780
-3460,456,-856
-6582,461,-861
-1222,465,-877
-2754,525,-880
-978,527,-886
9589,581,-886
5919,681,-897
-3718,716,-948
-8663,738,-960
-6453,768,-960
3657,787,-963
6771,799,-978
-4755,801,-992
-6078,825,-1000
-8779,825,-1018
4010,838,-1038
-8076,879,-1070
-1099,903,-1078
-1361,904,-1099
6734,931,-1111
-1144,937,-1144
-1384,942,-1146
-5740,955,-1181
-607,959,-1194
-6489,1042,-1196
904,1052,-1222
-9327,1059,-1231
-8062,1059,-1248
2750,1062,-1258
-2697,1096,-1264
8357,1100,-1283
879,1122,-1298
-1471,1157,-1361
30,1187,-1371
-2030,1209,-1378
6499,1218,-1384
-4281,1270,-1413
738,1301,-1435
2910,1317,-1471
-4304,1326,-1474
-6596,1335,-1528
825,1408,-1533
-5758,1424,-1552
9204,1463,-1607
8183,1465,-1611
-7309,1471,-1611
-736,1477,-1648
-3563,1490,-1658
2404,1491,-1662
-291,1498,-1708
-224,1521,-1708
-3747,1528,-1714
194,1528,-1734
419,1553,-1801
801,1585,-1808
1335,1590,-1858
6218,1605,-1869
1697,1622,-1879
-4595,1636,-1925
-1734,1660,-1937
1585,1697,-1942
-3993,1723,-1968
-6396,1735,-1990
-6720,1749,-2003
-4838,1782,-2030
-4382,1804,-2049
6412,1834,-2049
-8566,1908,-2058
-7097,1909,-2065
-6748,1922,-2091
-3552,1939,-2112
4274,1941,-2123
-2574,1957,-2126
1636,1989,-2147
3145,1992,-2155
3692,1998,-2163
-9388,2003,-2172
-5814,2017,-2188
-262,2046,-2198
465,2120,-2206
-880,2120,-2212
1553,2121,-2226
-886,2134,-2236
-9901,2154,-2238
-7646,2172,-2266
3022,2180,-2281
-8392,2230,-2296
-2281,2232,-2324
1498,2258,-2399
3947,2263,-2401
6668,2279,-2419
1922,2372,-2443
4508,2383,-2472
6083,2393,-2500
1062,2404,-2516
6384,2424,-2556
-4149,2464,-2574
4179,2527,-2604
681,2534,-2635
9347,2579,-2674
-7902,2585,-2674
4578,2619,-2697
-5034,2676,-2700
-7932,2695,-2754
-3173,2717,-2772
2918,2718,-2791
-4396,2750,-2848
2393,2780,-2863
-2126,2792,-2892
-8193,2843,-2913
9574,2891,-2922
4881,2895,-2974
-8068,2900,-2979
-6027,2902,-2982
-9734,2910,-2988
1270,2912,-2989
-4618,2918,-2992
-1194,3022,-3005
2619,3062,-3079
8802,3088,-3126
-2500,3097,-3162
-5235,3123,-3165
-1181,3145,-3173
-5515,3160,-3178
-7717,3173,-3203
1326,3195,-3228
4895,3217,-3242
6504,3242,-3256
4098,3247,-3257
4681,3263,-3271
6606,3278,-3347
-6324,3310,-3387
345,3392,-3402
1477,3421,-3406
1782,3429,-3433
2900,3537,-3460
-886,3592,-3479
-2674,3595,-3510
-2443,3596,-3540
4479,3621,-3552
3247,3634,-3563
1749,3636,-3568
1301,3640,-3612
5985,3657,-3644
2383,3657,-3690
4688,3683,-3718
-7456,3688,-3727
4544,3692,-3747
-3568,3704,-3750
-9938,3713,-3754
6192,3729,-3759
-3510,3731,-3782
-7977,3749,-3784
-1658,3754,-3815
8821,3824,-3818
-7148,3839,-3823
6511,3846,-3824
-8492,3849,-3898
-11,3862,-3909
5708,3866,-3944
8892,3867,-3963
2017,3907,-3964
2172,3928,-3966
-7978,3947,-3979
9636,3992,-3989
-9408,4006,-3993
7408,4010,-3996
-5331,4015,-4005
8755,4075,-4015
1408,4097,-4104
96,4098,-4149
-327,4102,-4154
-2236,4116,-4161
-9884,4132,-4163
-2065,4165,-4198
-9176,4179,-4199
-1879,4226,-4205
-6407,4234,-4237
2780,4254,-4281
-7724,4259,-4297
-8137,4272,-4304
6151,4274,-4328
-1801,4281,-4339
-3347,4297,-4362
-1018,4299,-4363
-8110,4312,-4370
-8384,4324,-4373
5919,4368,-4382
-9374,4395,-4396
4859,4440,-4407
2263,4447,-4465
-7862,4467,-4466
-2979,4470,-4469
6187,4479,-4529
2912,4505,-4554
-5483,4505,-4556
-1371,4508,-4590
1528,4544,-4595
-2992,4552,-4618
8129,4552,-4654
-1708,4561,-4657
-8591,4578,-4689
-9235,4586,-4695
-5003,4591,-4698
2792,4622,-4706
-3944,4626,-4728
-7290,4627,-4741
9486,4627,-4749
4591,4650,-4755
-12,4672,-4760
-2982,4676,-4783
9018,4681,-4792
-9877,4688,-4819
5811,4705,-4838
-3540,4707,-4870
8013,4799,-4897
-4328,4859,-4928
-575,4879,-4959
-8680,4881,-4963
4395,4895,-4972
-7462,4935,-4979
-306,4937,-5002
8973,4981,-5003
4561,5037,-5034
-2226,5041,-5050
1941,5106,-5060
456,5113,-5061
-2989,5115,-5070
-2163,5115,-5124
9521,5127,-5137
6151,5139,-5149
-8592,5168,-5150
-8889,5186,-5155
-6123,5200,-5155
3657,5207,-5209
5494,5212,-5224
4552,5225,-5235
7911,5240,-5264
7705,5246,-5298
-6048,5265,-5320
-6885,5352,-5331
7518,5403,-5348
9909,5430,-5438
-7037,5440,-5440
4102,5456,-5476
-1925,5494,-5483
5265,5588,-5485
-5622,5603,-5515
1463,5605,-5531
2527,5612,-5539
9126,5620,-5548
-5548,5660,-5556
-3257,5707,-5580
-379,5708,-5591
-4370,5741,-5597
8946,5811,-5622
1528,5832,-5630
-6634,5835,-5667
-2922,5875,-5695
-1196,5912,-5740
-9429,5914,-5758
7285,5919,-5793
8693,5919,-5814
-3818,5923,-5818
1939,5929,-5853
6305,5939,-5878
-4161,5949,-5953
-519,5972,-5961
2279,5985,-6001
-2700,5997,-6005
9480,6030,-6012
-178,6036,-6027
9842,6078,-6032
-8709,6080,-6032
-7468,6082,-6048
-7871,6083,-6078
2230,6151,-6082
8095,6151,-6088
2180,6187,-6102
-4198,6192,-6102
-1942,6218,-6107
8873,6221,-6114
7553,6240,-6123
-3387,6246,-6132
6567,6298,-6179
5972,6305,-6222
-5793,6321,-6238
9211,6322,-6249
2258,6363,-6314
-3759,6384,-6324
8670,6405,-6396
6240,6409,-6407
-2863,6412,-6440
3849,6462,-6453
-4783,6496,-6467
-4529,6499,-6489
8733,6504,-6533
9206,6511,-6534
4937,6552,-6545
2120,6567,-6559
-7402,6583,-6581
-5853,6591,-6581
-768,6597,-6582
-8118,6606,-6596
2718,6620,-6601
-2198,6627,-6617
-9355,6668,-6634
-5961,6676,-6644
-365,6708,-6692
6246,6713,-6708
931,6734,-6710
1622,6747,-6720
-9239,6771,-6748
-861,6821,-6781
-5209,6832,-6785
-9375,6881,-6796
-1413,6907,-6809
-4163,6921,-6814
2154,6957,-6885
-6617,6975,-6909
-7445,6979,-6913
5612,6988,-7013
4707,7034,-7037
-4695,7040,-7043
-3242,7043,-7063
3195,7089,-7073
6078,7098,-7097
-2238,7181,-7103
-6692,7191,-7148
-9835,7285,-7148
-8585,7312,-7200
8205,7329,-7225
-706,7340,-7243
1209,7404,-7268
6907,7408,-7279
-2772,7455,-7290
4015,7518,-7309
-9301,7553,-7317
4226,7563,-7321
1957,7570,-7335
3596,7582,-7340
6832,7591,-7402
1992,7592,-7407
5240,7637,-7419
-6533,7705,-7438
716,7744,-7445
4259,7767,-7456
-6913,7813,-7462
-9869,7818,-7468
6597,7824,-7504
-6644,7856,-7508
1989,7867,-7533
-8386,7911,-7582
-7073,8007,-7613
-5060,8013,-7646
-8709,8025,-7647
7767,8058,-7648
-5155,8065,-7696
9454,8068,-7717
7040,8091,-7718
1521,8095,-7724
768,8115,-7726
-7407,8118,-7805
9489,8129,-7827
-8490,8131,-7837
-1000,8160,-7862
-8870,8161,-7871
-9405,8176,-7879
-5150,8183,-7902
7824,8189,-7932
6708,8205,-7977
-4465,8207,-7978
-1146,8222,-8033
-2091,8231,-8062
-9921,8247,-8068
1059,8347,-8076
1660,8355,-8087
-4870,8357,-8110
-167,8387,-8118
-960,8424,-8129
1998,8430,-8137
-8269,8435,-8138
7744,8491,-8193
-655,8504,-8260
5200,8511,-8269
6747,8606,-8280
-5438,8635,-8329
8770,8670,-8341
-1111,8676,-8366
9862,8693,-8384
-2049,8701,-8386
-897,8705,-8387
1804,8706,-8392
-6601,8728,-8438
3595,8733,-8490
4552,8755,-8492
-5591,8770,-8553
9258,8775,-8566
456,8802,-8585
8701,8819,-8591
-3966,8821,-8592
6462,8847,-8616
-1858,8858,-8656
-4297,8873,-8663
9547,8880,-8680
-2049,8886,-8709
237,8892,-8709
8007,8930,-8759
-3909,8931,-8779
-8387,8946,-8838
-1298,8973,-8848
-2419,8983,-8866
6082,8987,-8869
-2188,8994,-8870
-4959,9018,-8889
8775,9043,-8947
5929,9055,-8960
-2112,9095,-8972
-2791,9126,-9027
-310,9129,-9033
8160,9171,-9059
-590,9182,-9097
-2913,9204,-9106
8705,9206,-9149
-8656,9211,-9173
6620,9258,-9176
8511,9265,-9196
-3782,9318,-9203
7570,9340,-9230
-3178,9340,-9235
9446,9347,-9239
-1435,9361,-9245
1424,9373,-9261
8858,9381,-9264
5660,9408,-9268
-9389,9431,-9301
5207,9441,-9309
-6005,9446,-9327
4075,9454,-9353
-7648,9469,-9355
8058,9480,-9374
3636,9486,-9375
-511,9489,-9377
525,9491,-9388
2902,9507,-9389
-8341,9512,-9394
-2674,9521,-9405
9933,9547,-9408
-2516,9574,-9414
-3165,9589,-9429
-3612,9608,-9531
825,9636,-9567
1735,9648,-9577
4272,9694,-9596
3992,9715,-9625
6627,9721,-9693
-7419,9745,-9734
4234,9779,-9835
-6785,9780,-9864
-7200,9805,-9869
4097,9835,-9877
8065,9842,-9884
4467,9852,-9900
9431,9862,-9901
7181,9900,-9907
-5440,9909,-9921
-7726,9933,-9937
1908,9996,-9938
